multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad
3,WU341A,2022-07-17,09:01,107.0,60,AV LIBERTADOR,R03,PAGADA,47.0,44.0
8,BP717,2023-01-11,08:01,70.0,60,AV SIEMPRE VIVA,R01,PAGADA,10.0,7.0
13,GE1466,2020-08-12,18:01,75.0,40,AV LIBERTADOR,,IMPAGA,35.0,33.0
17,5777770,2020-01-29,09:02,93.0,40,AV SIEMPRE VIVA,R02,APELADA,53.0,51.0
22,RFH373,2020-10-15,09:02,121.0,80,AV LIBERTADOR,R01,IMPAGA,41.0,37.0
24,XIIUME,2021-06-12,08:01,52.0,40,AV SIEMPRE VIVA,R03,IMPAGA,12.0,10.0
26,HF58HXP,2022-11-20,14:01,62.0,40,RUTA 9,,APELADA,22.0,20.0
35,GE1466,2020-11-22,08:02,67.0,40,AV LIBERTADOR,R03,ERROR,27.0,25.0
40,VTIIAHV,2023-04-30,09:03,71.0,60,AV LIBERTADOR,R03,APELADA,11.0,8.0
41,6611172,2022-02-26,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,49.0,46.0
44,GCP332,2024-01-26,14:02,106.0,40,AV LIBERTADOR,,IMPAGA,66.0,64.0
49,810TCH,2022-03-03,09:04,156.0,80,AV LIBERTADOR,R02,ERROR,76.0,72.0
50,GCP332,2023-12-08,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,26.0,24.0
51,BB8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,6.0
57,NTHGLFT,2022-05-26,09:04,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,13.0,9.0
59,FD1475,2022-01-07,14:03,59.0,40,RUTA 9,R02,PAGADA,19.0,17.0
63,6NCE831,2022-12-14,08:03,81.0,60,AV LIBERTADOR,R02,ERROR,21.0,18.0
68,HK06YMX,2020-11-11,14:03,76.0,40,AV SIEMPRE VIVA,,PAGADA,36.0,34.0
69,VNK296GP,2021-05-25,18:02,77.0,40,RUTA 9,R03,IMPAGA,37.0,35.0
71,RFH373,2021-07-14,09:05,116.0,80,AV LIBERTADOR,R01,PAGADA,36.0,32.0
72,HK06YMX,2021-05-30,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,44.0,41.0
81,8B90638,2022-04-10,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,48.0,45.0
82,5777770,2020-02-13,09:05,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,18.0
90,MVU4688,2023-09-21,18:04,49.0,40,RUTA 9,,PAGADA,9.0,7.0
92,CD05601,2023-08-15,14:04,103.0,40,AV LIBERTADOR,R02,ERROR,63.0,61.0
93,3646HBH,2022-04-23,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,13.0,10.0
101,RFH373,2022-05-12,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,61.0,59.0
102,B81JKY,2023-10-10,18:04,147.0,80,AV LIBERTADOR,R02,ERROR,67.0,63.0
103,5777770,2020-05-19,09:06,91.0,60,AV LIBERTADOR,R03,ERROR,31.0,28.0
138,831MDB,2021-09-05,18:06,153.0,80,AV SIEMPRE VIVA,R03,ERROR,73.0,69.0
146,T0YDR,2022-07-03,18:07,125.0,80,AV LIBERTADOR,R02,APELADA,45.0,41.0
147,WEFLYN,2021-12-13,09:08,129.0,60,AV SIEMPRE VIVA,,ERROR,69.0,66.0
148,FD1475,2023-10-07,09:08,106.0,80,AV LIBERTADOR,R03,ERROR,26.0,22.0
149,990XYK,2022-11-25,14:05,109.0,80,AV LIBERTADOR,,APELADA,29.0,25.0
150,INTIGR8,2020-01-04,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,40.0,37.0
161,990XYK,2020-04-26,09:08,82.0,60,AV LIBERTADOR,R01,APELADA,22.0,19.0
162,NTHGLFT,2020-06-10,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,58.0,55.0
166,BM351,2020-02-24,14:05,112.0,80,RUTA 9,,ERROR,32.0,28.0
170,WEFLYN,2021-01-18,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,8.0,4.0
172,810TCH,2020-08-02,14:05,110.0,40,RUTA 9,R03,APELADA,70.0,68.0
178,WU341A,2020-11-18,09:09,70.0,60,RUTA 9,R02,PAGADA,10.0,7.0
188,TL03GOG,2021-08-13,08:08,93.0,40,RUTA 9,,PAGADA,53.0,51.0
190,VNK296GP,2020-03-03,09:10,153.0,80,AV LIBERTADOR,R01,PAGADA,73.0,69.0
191,VY90540,2022-02-05,08:08,98.0,60,RUTA 9,,IMPAGA,38.0,35.0
192,YLO8WUE,2021-12-18,18:09,140.0,80,AV SIEMPRE VIVA,,ERROR,60.0,56.0
193,3646HBH,2021-04-03,09:10,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,77.0,75.0
200,5777770,2022-09-13,14:06,85.0,60,RUTA 9,R02,PAGADA,25.0,22.0
204,6611172,2020-04-18,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,13.0,9.0
216,M431ZW,2022-03-07,09:11,109.0,60,RUTA 9,R03,APELADA,49.0,46.0
221,RFH373,2021-11-24,09:11,156.0,80,AV SIEMPRE VIVA,R02,APELADA,76.0,72.0
222,XIIUME,2023-06-25,18:10,83.0,60,AV SIEMPRE VIVA,R03,ERROR,23.0,20.0
229,8B90638,2022-06-16,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,44.0,41.0
231,AI7OVF,2021-04-05,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,45.0
236,831MDB,2020-09-05,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,7.0
240,W326AVE,2020-07-31,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,20.0,16.0
241,CT5B876,2022-06-04,18:11,65.0,40,RUTA 9,R03,ERROR,25.0,23.0
247,GN64OTP,2022-01-18,18:11,141.0,80,RUTA 9,R02,APELADA,61.0,57.0
248,VY90540,2020-08-30,18:11,123.0,60,AV LIBERTADOR,,ERROR,63.0,60.0
249,6611172,2020-04-13,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,18.0,15.0
257,BM351,2023-03-31,14:08,78.0,40,AV SIEMPRE VIVA,R02,ERROR,38.0,36.0
259,HAMSTUR,2021-09-30,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,61.0,57.0
263,990XYK,2020-11-03,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,38.0,35.0
268,GLEN1E,2023-09-03,14:09,68.0,60,AV LIBERTADOR,,APELADA,8.0,5.0
275,WEFLYN,2022-03-15,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,59.0,55.0
285,41RSTZ,2022-02-03,14:10,153.0,80,AV LIBERTADOR,R02,ERROR,73.0,69.0
288,GCP332,2023-05-31,08:11,91.0,80,RUTA 9,,IMPAGA,11.0,7.0
294,810TCH,2023-11-09,18:14,82.0,40,RUTA 9,R03,IMPAGA,42.0,40.0
302,GN64OTP,2021-08-11,18:14,157.0,80,RUTA 9,R03,ERROR,77.0,73.0
306,XIIUME,2023-07-26,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,53.0,49.0
307,409,2023-06-01,18:14,96.0,40,RUTA 9,R01,PAGADA,56.0,54.0
308,FD1475,2022-09-13,08:12,153.0,80,RUTA 9,,ERROR,73.0,69.0
309,VTIIAHV,2022-07-03,14:10,124.0,60,RUTA 9,R02,ERROR,64.0,61.0
311,CBMUK,2023-02-04,09:13,120.0,40,RUTA 9,R01,PAGADA,80.0,78.0
315,MPX9357,2020-02-10,09:14,104.0,60,AV LIBERTADOR,R03,IMPAGA,44.0,41.0
320,OUTSTDN,2020-12-18,08:12,120.0,60,RUTA 9,,ERROR,60.0,57.0
322,UW3932,2021-12-07,08:13,100.0,80,AV SIEMPRE VIVA,R02,ERROR,20.0,16.0
329,UM96201,2021-11-17,18:15,133.0,60,RUTA 9,R03,APELADA,73.0,70.0
340,T0YDR,2021-10-25,18:15,105.0,40,AV LIBERTADOR,R03,APELADA,65.0,63.0
342,6611172,2023-03-12,09:16,79.0,40,AV LIBERTADOR,R03,APELADA,39.0,37.0
353,FVIOUHP,2023-02-22,14:12,127.0,80,AV LIBERTADOR,,PAGADA,47.0,43.0
354,HF58HXP,2020-12-25,14:12,105.0,80,AV LIBERTADOR,R01,APELADA,25.0,21.0
356,MX60NZA,2022-09-11,09:16,67.0,60,AV LIBERTADOR,R02,PAGADA,7.0,4.0
371,8B90638,2023-10-10,18:17,90.0,40,RUTA 9,R01,IMPAGA,50.0,48.0
380,691XC80,2023-09-29,09:18,103.0,80,AV LIBERTADOR,R01,APELADA,23.0,19.0
383,0695DVH,2023-12-16,18:17,63.0,40,AV LIBERTADOR,R01,ERROR,23.0,21.0
385,409,2021-07-14,08:14,45.0,40,AV LIBERTADOR,R02,APELADA,5.0,3.0
388,81ZFJD,2020-11-21,09:18,119.0,40,AV LIBERTADOR,R03,ERROR,79.0,77.0
389,GE1466,2023-02-18,14:13,112.0,80,AV LIBERTADOR,R03,IMPAGA,32.0,28.0
394,GLEN1E,2023-05-05,09:19,133.0,80,AV SIEMPRE VIVA,R02,ERROR,53.0,49.0
396,41RSTZ,2022-11-16,14:13,90.0,80,AV LIBERTADOR,,ERROR,10.0,6.0
407,6EVY261,2022-06-20,08:15,115.0,60,RUTA 9,R01,PAGADA,55.0,52.0
408,MVU4688,2022-06-15,18:18,91.0,40,AV LIBERTADOR,R02,IMPAGA,51.0,49.0
412,41RSTZ,2022-04-20,08:15,104.0,60,AV SIEMPRE VIVA,R03,ERROR,44.0,41.0
