imagen,patente_imagen,ratio
081f5a6bc61b9c48_patente.jpg,6EVY261,1.0
09453a7c716a9ef3_patente.jpg,UM96201,1.0
0e50ea14c4fc1353_patente.jpg,BTIIAHV,0.8571
0ee91c4938b6e7ee_patente.jpg,GNCE831,0.8571
1ca1155083156d72_patente.jpg,OUTSTDN,1.0
246a0e4264a39433_patente.jpg,589222,1.0
288a95c01e43cd14_patente.jpg,VY90540,1.0
288a95c01e43cd14_patente_1.jpg,VY90540,1.0
28e26a4eb646c67a_patente.jpg,FVIOUHP,1.0
321ffb38656f7311_patente.jpg,BHRP770,1.0
3feecc5809a29627_patente.jpg,MVU4688,1.0
4cb48c8bf41b70a4_patente.jpg,TOYDR,0.8
5a122adbb1a776b7_patente.jpg,691XC80,1.0
5ff91ccfc6f15d04_patente.jpg,2999961,1.0
628a23a43f19c4db_patente.jpg,83EMDB,0.8333
6a0ef049e5ec4b16_patente.jpg,8B90638,1.0
6c144e47161867c2_patente.jpg,N326AVE,0.8571
7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
7bcf6b4ec09f1ea7_patente.jpg,409,1.0
7f9740e95a74f2b9_patente.jpg,AWS167,1.0
80e02a518ffe4cb2_patente.jpg,B81JKY,1.0
86c92b0402fec141_patente.jpg,41RSTZ,1.0
9a4fe6361597f264_patente.jpg,HKO6YMX,0.8571
9a795bbf4e94d630_patente.jpg,HFS8HXP,0.8571
a3ad91fabd188be3_patente.jpg,GE1466,1.0
a929dc75c20da7d8_patente.jpg,HAMSTUR,1.0
d3729058c6a4186e_patente.jpg,3646HBHI,1.0
d648b2ae1abc09f3_patente.jpg,GCP332,1.0
d8daed582e6cce2d_patente.jpg,FD1475,1.0
da1352ab6054a2e4_patente.jpg,INTIGR8,1.0
